DATAFLOW,LAST UPDATE,freq,maturity,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,1988,8.84500,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,1989,8.50300,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,1990,8.56130,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,1991,7.84460,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,1992,6.99320,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,1993,5.84680,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,1994,7.07240,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,1995,6.57180,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,1996,6.42960,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,1997,6.33910,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,1998,5.25230,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,1999,5.64190,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2000,6.02980,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2001,5.00500,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2002,4.59390,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2003,4.00280,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2004,4.25980,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2005,4.28500,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2006,4.79200,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2007,4.63190,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2008,3.65040,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2009,3.24980,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2010,3.19750,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2011,2.76360,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2012,1.78780,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2013,2.33550,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2014,2.53020,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2015,2.13160,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2016,1.83290,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2017,2.32660,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2018,2.91210,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2019,2.13930,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2020,0.88280,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2021,1.43770,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2022,2.93990,
ESTAT:IRT_LT_GBY10_A(1.0),28/05/24 11:00:00,A,Y10,US,2023,3.95820,
